place_id,name,address,types,region,lad_code,imd_quintile,is_true_salon,notes
ChIJm4x5IoI6bEgRNEMo-zMAtf4,B&M Home Store with Garden Centre,"Coney Ave, Barnstaple EX32 8QJ, UK",building_materials_store;discount_store;establishment;garden_center;home_goods_store;liquor_store;point_of_interest;service;store,SW_England,E07000043,2,False,No tanning evidence in name or type
ChIJ-4hjcMLLbUgR_5q-G8Ydsig,Nailed It,"Hacche Mill, South Molton EX36 3NA, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000043,3,False,Web-checked: no UV sunbed services found
ChIJKecqPXE7bEgRXaNZOE2wjzY,Boots Pharmacy,"6 Higher Rd, Fremington, Barnstaple EX31 3BG, UK",consultant;drugstore;establishment;health;pharmacy;point_of_interest;service;store,SW_England,E07000043,3,False,Pharmacy / chemist
ChIJP_TBZ5Q6bEgRsbeQ9izre2s,TM Gym,"The Old Ice Factory, Rolle St, Barnstaple EX31 1JP, UK",association_or_organization;establishment;gym;health;point_of_interest;service;sports_activity_location;sports_club;tanning_studio,SW_England,E07000043,3,True,
ChIJQ-gFEJImbEgRsUxRGiJfS78,Unique Nail & Beauty Room,"28 Station Rd, Ilfracombe EX34 8DJ, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000043,3,False,Web-checked: no UV sunbed services found
ChIJbV_nacY9bEgRcDnMQAx83wE,Natural Bronze Tanning Salon,"Vellator Way, Braunton EX33 2FB, UK",beauty_salon;establishment;point_of_interest;service;tanning_studio,SW_England,E07000043,3,True,
ChIJq6paHHE7bEgRo9k9xV87r4M,Boots,"6 Higher Rd, Fremington, Barnstaple EX31 3BG, UK",cosmetics_store;drugstore;establishment;health;point_of_interest;store,SW_England,E07000043,3,False,Pharmacy / chemist
ChIJ4cawD5c7bEgRThVbDwSWH4g,Consol Tanning Studio,"Unit 6A, Anchorwood Retail Park, Sticklepath, Barnstaple EX31 2BN, UK",establishment;point_of_interest;service;tanning_studio,SW_England,E07000043,4,True,
ChIJfUki-ZA6bEgR5RE8_ipbmeY,Headlines and Beautylines,"Main Road, Fremington, Barnstaple EX31 2NT, UK",establishment;hair_care;hair_salon;point_of_interest;service,SW_England,E07000043,4,False,Web-checked: no UV sunbed services found
ChIJ4weD9KAZbUgRTAlPAUIGSYQ,The Beauty Room,"Collingwood Rd, Dartmouth TQ6 9JY, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000044,2,False,Web-checked: no UV sunbed services found
