,coef,se,p,ci_low,ci_high,IRR,IRR_low,IRR_high
Intercept,0.6971449413002221,0.10677496104024119,6.616381871117117e-11,0.48786986321068193,0.9064200193897622,2.008011524890318,1.628842863798675,2.475444607768321
ridit_imd,-0.6281092423805374,0.16111072047153627,9.674303688132555e-05,-0.9438804520280486,-0.31233803273302635,0.533599755611355,0.3891149600011107,0.7317341363274367
