,coef,se,p,ci_low,ci_high,IRR,IRR_low,IRR_high
Intercept,5.753207357983703,0.21129777247842502,3.03156605452204e-163,5.339071333912451,6.167343382054955,315.19999999999334,208.31916149124038,476.91743423311254
C(imd_q_cat)[T.4],0.4506066937571887,0.24683373840614956,0.06791846244452081,-0.033178543688245576,0.934391931202623,1.5692639593908768,0.9673658271066893,2.545665047532774
C(imd_q_cat)[T.3],0.3117479757843006,0.4122229253710116,0.4494929382831194,-0.49619411154462456,1.1196900631132256,1.3658104323472815,0.6088434460600105,3.0639044391138954
C(imd_q_cat)[T.2],0.09224534197244756,0.13456152309948888,0.49301243801821115,-0.1714903970074052,0.3559810809523003,1.0966338393880575,0.842408357622402,1.4275805395440333
C(imd_q_cat)[T.1],-0.1684692182892297,0.3245595162569358,0.6037116910972751,-0.804594180992566,0.4676557444141066,0.8449572722490039,0.44726940015817584,1.5962477908705344
