imd_quintile,n_salons,pop_total,pop_school_age,salons_per_100k_pop,salons_per_100k_child
1,277,963215,183902,28.76,150.62
2,142,529853,87329,26.8,162.6
3,55,376251,60494,14.62,90.92
4,67,344569,50362,19.44,133.04
5,60,431745,72659,13.9,82.58
