metric,point,ci_low,ci_high
SII_buffer_800m,-0.8148763864329397,,
SII_route_50m,0.10387667516424148,,
RII_buffer_800m,1.8740638268364305,,
RII_route_50m,0.540173530550315,,
RII_ratio (route/buffer),0.2882364638893709,0.15199155765523492,0.5744305266404806
