region,rii_primary,ci_lo_primary,ci_hi_primary,n_routes_primary,rii_secondary,ci_lo_secondary,ci_hi_secondary,n_routes_secondary,rii_buffer_800m
SW_England,1.7753910549116896,1.1423054805958734,3.015696566474494,1939,2.185485613334781,0.8458964414157124,4.71083076574876,1641,1.2338892584393881
Greater_Manchester,0.6558887038160087,0.24640989093656773,1.8220644356074454,1672,0.6457280345763182,0.32939704778078843,1.3114743242424034,1641,1.6220800657190195
West_Midlands,0.32696302977895875,0.19262492863449657,0.9624940845207559,1519,0.3719409188448001,0.2789440397171264,0.6616202670701156,1528,0.7738034485616296
Yorkshire,0.5394553933743755,0.23751589288152722,1.6484534736314622,2214,0.4869951234211877,0.3717801182041602,0.8498359166085712,2069,1.2554466703809444
