metric,point,ci_low,ci_high,p
H1 IRR(Q1 vs Q5),1.2993207586751983,0.6997074561268987,2.4127718221972403,0.4070098790465978
H2 RII buffer 800m,1.8649431144408308,,,
H2 RII route 50m,1.058311763284233,,,
H2 ratio (route/buffer),0.5674766994710979,0.294591402669322,1.0365683245879154,
H3 IRR(secondary / primary),12.610260896196301,,,1.804578609909914e-14
