lad_code,lad_name,slope,ci_low,ci_high,n
E06000003,Redcar and Cleveland,-0.9005147588565979,-2.8253412238583753,1.0243117061451792,52
E08000024,Sunderland,-0.7572212338739533,-1.3529704749889555,-0.1614719927589512,96
E06000057,Northumberland,-0.7045238394778625,-1.6051440300034434,0.1960963510477184,133
E06000001,Hartlepool,-0.4346152007115798,-1.8829974825288653,1.0137670811057058,34
E08000021,Newcastle upon Tyne,0.16734128533611736,-0.5184690508657565,0.8531516215379912,84
E06000004,Stockton-on-Tees,0.1971166641653855,-1.101545517316935,1.495778845647706,69
E08000037,Gateshead,0.2460963015647104,-0.6123975119868001,1.104590115116221,77
E06000047,County Durham,1.78227880920102,0.9698803136992762,2.594677304702764,219
E08000023,South Tyneside,1.9637310674820514,0.9338836828585506,2.9935784521055524,55
E06000002,Middlesbrough,2.0394940476426444,1.0735303513586483,3.0054577439266406,50
E08000022,North Tyneside,2.287351309912878,1.3832045143550928,3.1914981054706635,75
E06000005,Darlington,2.7214827928370378,1.443091156890911,3.9998744287831647,35
