,coef,se,p,ci_low,ci_high,IRR,IRR_low,IRR_high
Intercept,5.660267106651043,0.22684930445720639,2.0485143412162898e-137,5.215650639996957,6.104883573305129,287.2253521126793,184.13158538782088,448.0404745470101
C(imd_q_cat)[T.4],0.28832721879850853,0.2747187305562557,0.2939314598401781,-0.2501115989703159,0.8267660365673329,1.3341938059978564,0.7787138745554736,2.28591421076091
C(imd_q_cat)[T.3],0.06473178898360497,0.43012423860549515,0.8803736519387969,-0.7782962275608782,0.9077598055280882,1.066872838958365,0.45918769655100977,2.478763396877382
C(imd_q_cat)[T.2],0.08248336277184085,0.13241192968832763,0.5333305256735275,-0.17703925054073125,0.34200597608441297,1.0859806055816459,0.837746901858773,1.4077687104336118
C(imd_q_cat)[T.1],-0.1134484894168809,0.3165708271870792,0.7200687980360959,-0.7339159092596095,0.5070189304258477,0.8927501813092393,0.48002556827483517,1.6603342382199138
