measure,rii,ci_low,ci_high,n
buffer_800m_school_imd,1.8231668257694889,,,1098
route_50m_origin_imd_primary,1.0843991151668757,0.6432176816272095,1.671568218965243,8627
route_50m_origin_imd_secondary,1.4683149022252562,0.7545678716155428,2.5567767476265173,7707
