,coef,se,p,ci_low,ci_high,IRR,IRR_low,IRR_high
Intercept,0.6986775655388194,0.1070584638480519,6.74902735747512e-11,0.4888468321564543,0.9085082989211846,2.0110914115763694,1.6304349702868133,2.480619429430393
ridit_imd,-0.6286502779306382,0.1611726697888055,9.600338037897262e-05,-0.9445429060088639,-0.31275764985241256,0.5333111372574795,0.38885727460864383,0.731427152569319
