imd_quintile,NE_England,London,SW_England,Greater_Manchester,West_Midlands,Yorkshire
1,28.76,7.33,24.77,21.37,9.53,19.49
2,26.8,9.1,26.17,21.34,14.65,25.12
3,14.62,9.48,20.31,22.58,16.03,25.22
4,19.44,12.19,16.75,14.33,17.72,20.6
5,13.9,7.15,12.39,11.56,13.33,14.89
